store_id,메뉴명,가격
19,마제소바,"10,900원"
19,마제소바 ＋ 치즈카츠2P,"16,500원"
19,[100%모짜렐라] 모짜렐라 치즈카츠,"14,500원"
19,오꼬노미카츠,"14,500원"
19,[치즈폭탄] 체다치즈카츠,"14,500원"
19,마라 마제소바,"11,900원"
19,마라 마제소바+돈카츠,"16,900원"
19,마라 마제소바+에비텐,"15,900원"
19,마라 마제소바+치즈카츠2p,"17,500원"
19,[세트메뉴] 백소정 실속 도시락세트,"27,500원"
19,마제소바＋돈카츠,"15,900원"
19,마제소바,"10,900원"
19,마제소바＋에비텐,"14,900원"
19,마제소바 ＋ 치즈카츠2P,"16,500원"
19,돈카츠（등심카츠）,"11,900원"
19,[100%모짜렐라] 모짜렐라 치즈카츠,"14,500원"
19,[수제 새우튀김] 에비텐 모듬카츠,"15,900원"
19,[가성비甲] 치즈 모듬카츠,"15,900원"
19,오꼬노미카츠,"14,500원"
19,[치즈폭탄] 체다치즈카츠,"14,500원"
19,[냉면보다맛있는] 냉소바,"10,900원"
19,냉소바 ＋에비텐（1개）,"14,900원"
19,냉소바 ＋돈카츠,"15,900원"
19,냉소바＋치즈카츠2P,"16,500원"
19,가라아게 붓가케우동,"10,900원"
19,가라아게 붓가케우동 + 돈카츠,"16,400원"
19,가라아게 붓가케우동 + 에비텐,"14,500원"
19,가라아게 붓가케우동+ 치즈카츠 2P,"16,500원"
19,에비텐 붓가케우동,"10,900원"
19,에비텐 붓가케우동 + 돈카츠,"16,500원"
19,에비텐 붓가케우동+치즈카츠2P,"16,900원"
19,가츠동,"12,900원"
19,에비가츠동,"14,500원"
19,스페셜가츠동,"15,500원"
19,[프리미엄 우동] 에비텐어묵우동,"10,900원"
19,에비텐어묵우동＋돈카츠,"15,900원"
19,에비텐어묵우동＋치즈카츠2P,"16,500원"
19,[토핑가득] 머쉬룸포크카레,"10,500원"
19,머쉬룸포크카레＋에비텐（1개）,"14,500원"
19,머쉬룸포크카레＋돈카츠,"15,500원"
19,머쉬룸포크카레＋치즈카츠2P,"15,900원"
19,돈카츠（소）,"6,500원"
19,에비텐,"4,000원"
19,미니 우동,"4,000원"
19,미니 카레라이스,"5,000원"
19,가라아게7p,"7,000원"
19,타코야키8p,"7,000원"
19,펩시콜라（355mL）,"2,000원"
19,펩시콜라(제로)（355ml）,"2,000원"
19,칠성사이다（355mL）,"2,000원"
19,칠성사이다(제로)（355ml）,"2,000원"
20,육회쫄면(1인),"9,500원"
20,육바연변신세트2 (육회180g+육회바른연어3p),"16,900원"
20,육쫄세트 (육회쫄면+육회초밥6p),"15,900원"
20,혼밥세트 1 (육회덮밥+선택초밥3p),"9,900원"
20,혼밥세트 2 (육회100g+육초3+육덮),"15,900원"
20,[[NEW]]트러플육회,"14,900원"
20,[[NEW]]트러플감자튀김,"6,500원"
20,육회쫄면(1인),"9,500원"
20,육바연변신세트1 (육회덮밥+3단변신초밥3p),"12,900원"
20,육바연변신세트2 (육회180g+육회바른연어3p),"16,900원"
20,육바연 KING 유부세트 (선택유부2p+육초4p+연초4p),"15,900원"
20,육쫄세트 (육회쫄면+육회초밥6p),"15,900원"
20,육바연세트 (육회180g+연어180g+날치알주먹밥),"31,900원"
20,혼밥세트 1 (육회덮밥+선택초밥3p),"9,900원"
20,혼밥세트 2 (육회100g+육초3+육덮),"15,900원"
20,혼밥세트 3 (연어8+연초3+연덮),"16,900원"
20,혼밥세트 4 (육회100g+연어8p+육회덮밥),"18,900원"
20,혼밥세트 5 (육회100g+연어8p+연어덮밥),"19,900원"
20,혼밥세트 6 (육회100g+연어8p+육연덮밥),"19,900원"
20,혼밥세트 7 (육회덮밥+육회초밥6p+사이다),"15,900원"
20,혼밥세트 8 (육회덮밥+연어초밥6p+사이다),"15,900원"
20,혼밥세트 9 (연어덮밥+육회초밥6p+사이다),"15,900원"
20,혼밥세트10 (연어덮밥+연어초밥6p+사이다),"15,900원"
20,혼밥세트11 (육회초밥6p+연어초밥6p+사이다),"16,900원"
20,혼술세트 1 (육회100g+연어8p),"13,900원"
20,혼술세트 2 (육회100g+연어8p+초밥선택3p),"16,900원"
20,혼술세트 3 (육회100g+연어8p+초밥선택6p),"18,900원"
20,두리세트 1 (육회100g+연어8p+육덮+연덮),"25,900원"
20,두리세트 2 (육덮+연덮+육초6p+연초6p),"26,900원"
20,[[NEW]]육회바른연어 10p,"19,900원"
20,최상급육회 180g,"12,900원"
20,최상급육회두접시 180g+180g,"23,900원"
20,최상급육회 큰놈 270g,"17,900원"
20,화끈하게매운불육회 180g,"13,900원"
20,컵물육회,"9,900원"
20,타코와사비 육회 200g,"15,900원"
20,육회180g+매운불육회180g,"25,900원"
20,육회180g+매운불육회180g+타코와사비육회200g,"39,900원"
20,싱싱해서 고소한 생연어단품,"21,900원"
20,싱싱해서 고소한 생연어 큰놈,"30,900원"
20,생연어사시미 스페셜 (연어 180g+연초4p),"24,900원"
20,King육회유부초밥,"6,000원"
20,King연어유부초밥,"6,000원"
20,King스테이크유부초밥,"6,000원"
20,King불육회유부초밥,"6,000원"
20,King타코와사비유부초밥,"6,000원"
20,육회덮밥,"6,900원"
20,생연어덮밥,"7,900원"
20,육연덮밥,"7,900원"
20,화끈하게매운불육회덮밥,"7,900원"
20,구운육회덮밥,"7,900원"
20,[[NEW]]육바연3단변신초밥,"11,900원"
20,핵꿀맛 육회초밥,"7,900원"
20,생생한 생연어초밥,"8,500원"
20,불(매운)육회초밥,"8,500원"
20,스테이크육회초밥,"8,500원"
20,"모듬초밥(육회,연어,스테이크)12P","15,900원"
20,크런치오징어12P,"5,500원"
20,새우튀김,"5,900원"
20,버팔로윙 5P,"7,500원"
20,날치알주먹밥,"3,000원"
20,온육수,"1,000원"
20,흑임자소스,500원
20,노른자,500원
20,타르타르소스,500원
20,날치알,500원
20,연덮비빔장,500원
20,매실고추장,500원
