store_id,가게명,영업시간,전화번호,주소
1,뚜레쥬르-전북대사대부고점,09:00 - 22:00,050718614995 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 632-144 632-144
2,이삭토스트-전주전북대점,09:30 - 19:40,050720815354 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 664-15
3,빽다방-전북대1호점,09:00 - 23:00,050718627971 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 664-53 664-53
4,포티커피-전북대점,08:50 - 00:00,050716622164 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 1312-28 101-1 일부호
5,거기커피,09:00 - 00:40,050718628038 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1312-77 1층 거기커피
6,배스킨라빈스-전북대점,09:40 - 23:55,050712904419 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1312-29 1312-29
7,더벤티-전주금암기린대로점,09:00 - 21:30,050720797680 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 471-5 1층 104호
8,요거트아이스크림의정석-전북대점,12:00 - 23:40,,전북특별자치도 전주시 덕진구 덕진동1가 1312-38 미스사이공전북대점 1층 101호
9,샐러디아-전주전북대점,16:30 - 22:00,05074640627 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1314-182 2층
10,설빙-전주전북대점,12:00 - 22:00,050712932216 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1314-169
11,동네커피-전주금암점,07:50 - 19:00,050720790875 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1579-16 1층
12,대설-전북대본점,12:00 - 00:20,,전북특별자치도 전주시 덕진구 덕진동1가 1263-21 2층
13,버블망고-전북대점,12:00 - 23:30,050372600651 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1262-25 1층 상가
14,이디야커피-전북대구정문점,10:00 - 22:00,050352926881 (요기요 제공 번호),"전라북도 전주시 덕진구 금암동 664-39 664-39 2,3층"
15,신전떡볶이-전북대점,10:20 - 22:55,050712955193 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1266-2 1266-2
