store_id,메뉴명,가격
1,순살양념（순한맛）,"23,500원"
1,순살양념（매운맛）,"23,500원"
1,뼈 양념치킨（매운맛）,"22,500원"
1,뼈 소금구이치킨,"21,500원"
1,뼈 양념치킨（보통맛）,"22,500원"
1,순살양념（순한맛）,"23,500원"
1,순살양념（보통맛）,"23,500원"
1,순살양념（매운맛）,"23,500원"
1,뼈 양념치킨（순한맛）,"22,500원"
1,뼈 양념치킨（보통맛）,"22,500원"
1,뼈 양념치킨（매운맛）,"22,500원"
1,뼈 소금구이치킨,"21,500원"
1,순살소금구이치킨,"22,500원"
1,떡2개 추가,"4,000원"
1,공기밥 추가,"2,000원"
1,무 추가,500원
1,메추리알 추가,"2,000원"
1,오뚜기 오쉐프 마요네즈,500원
1,오뚜기 허니 머스타드,500원
1,콘샐러드,"2,000원"
1,치킨무 콘샐러드 변경,"1,500원"
1,근위(똥집)추가 (양념만 가능),"2,500원"
1,무뼈닭발 추가(양념만 가능),"4,000원"
1,칠성사이다 500ml,"2,000원"
1,칠성사이다 1.25l,"2,500원"
1,펩시 500ml,"2,000원"
1,펩시제로500ml,"2,000원"
1,펩시제로 1.25L,"2,500원"
1,펩시 1.25l,"2,500원"
2,스테이크 & 치즈 （15cm단품）,"9,400원"
2,이탈리안 비엠티 （15cm단품）,"8,100원"
2,로티세리 바비큐 치킨 （15cm단품）,"8,700원"
2,에그마요 （15cm단품）,"6,800원"
2,안창 비프 (15cm단품),"11,700원"
2,써브웨이 클럽 (샐러드 단품),"10,500원"
2,치킨데리야끼 （샐러드단품）,"10,400원"
2,에그마요 （15cm세트）,"10,300원"
2,이탈리안 비엠티 （샐러드단품）,"10,200원"
2,스파이시 이탈리안 （샐러드단품）,"10,200원"
2,비엘티 （샐러드단품）,"10,100원"
2,터키 (샐러드 단품),"9,900원"
2,에그 슬라이스 (15cm세트),"9,800원"
2,안창 비프&머쉬룸 (15cm단품),"9,800원"
2,터키 베이컨 아보카도 (15cm단품),"9,600원"
2,베지 （15cm세트）,"9,500원"
2,스테이크 & 치즈 （15cm단품）,"9,400원"
2,머쉬룸 (샐러드 단품),"9,400원"
2,참치 （샐러드단품）,"9,200원"
2,햄 （샐러드단품）,"9,200원"
2,터키 베이컨 에그 슬라이스 (15cm단품),"9,000원"
2,스파이시 쉬림프 （15cm단품）,"9,000원"
2,에그마요 （샐러드단품）,"8,900원"
2,쉬림프 （15cm단품）,"8,800원"
2,로티세리 바비큐 치킨 （15cm단품）,"8,700원"
2,이탈리안 비엠티 썹픽 (15cm세트),"11,600원"
2,이탈리안 비엠티 썹픽 (15cm단품),"8,100원"
2,터키 베이컨 에그 슬라이스 (15cm세트),"12,500원"
2,터키 베이컨 아보카도 (15cm세트),"13,100원"
2,터키 (15cm세트),"11,300원"
2,안창 비프&머쉬룸 (15cm세트),"13,300원"
2,스테이크 & 치즈 （15cm세트）,"12,900원"
2,이탈리안 비엠티 （15cm세트）,"11,600원"
2,로티세리 바비큐 치킨 （15cm세트）,"12,200원"
2,에그마요 （15cm세트）,"10,300원"
2,안창 비프 (15cm세트),"15,200원"
2,스파이시 쉬림프 （15cm세트）,"12,500원"
2,쉬림프 （15cm세트）,"12,300원"
2,로스트 치킨 （15cm세트）,"12,200원"
2,풀드포크 바비큐 （15cm세트）,"12,000원"
2,써브웨이 클럽 (15cm세트),"11,900원"
2,치킨데리야끼 （15cm세트）,"11,800원"
2,스파이시 이탈리안 （15cm세트）,"11,600원"
2,비엘티 （15cm세트）,"11,500원"
2,머쉬룸 (15cm세트),"10,800원"
2,참치 （15cm세트）,"10,600원"
2,햄 （15cm세트）,"10,600원"
2,에그 슬라이스 (15cm세트),"9,800원"
2,베지 （15cm세트）,"9,500원"
2,터키 베이컨 에그 슬라이스 (15cm단품),"9,000원"
2,터키 베이컨 아보카도 (15cm단품),"9,600원"
2,터키 (15cm단품),"7,800원"
2,안창 비프&머쉬룸 (15cm단품),"9,800원"
2,스테이크 & 치즈 （15cm단품）,"9,400원"
2,이탈리안 비엠티 （15cm단품）,"8,100원"
2,로티세리 바비큐 치킨 （15cm단품）,"8,700원"
2,에그마요 （15cm단품）,"6,800원"
2,안창 비프 (15cm단품),"11,700원"
2,스파이시 쉬림프 （15cm단품）,"9,000원"
2,쉬림프 （15cm단품）,"8,800원"
2,로스트 치킨 （15cm단품）,"8,700원"
2,풀드포크 바비큐 （15cm단품）,"8,500원"
2,써브웨이 클럽 (15cm단품),"8,400원"
2,치킨데리야끼 （15cm단품）,"8,300원"
2,스파이시 이탈리안 （15cm단품）,"8,100원"
2,비엘티 （15cm단품）,"8,000원"
2,머쉬룸 (15cm단품),"7,300원"
2,참치 （15cm단품）,"7,100원"
2,햄 （15cm단품）,"7,100원"
2,에그 슬라이스 (15cm단품),"6,300원"
2,베지 （15cm단품）,"6,000원"
2,터키 베이컨 에그 슬라이스 (30cm세트),"20,100원"
2,터키 베이컨 아보카도 (30cm세트),"21,000원"
2,터키 (30cm세트),"17,700원"
2,안창 비프&머쉬룸 (30cm세트),"21,600원"
2,스테이크 & 치즈 （30cm세트）,"20,700원"
2,이탈리안 비엠티 （30cm세트）,"18,300원"
2,로티세리 바비큐 치킨 （30cm세트）,"19,400원"
2,에그마요 （30cm세트）,"16,100원"
2,안창 비프 (30cm세트),"25,000원"
2,스파이시 쉬림프 （30cm세트）,"20,300원"
2,쉬림프 （30cm세트）,"19,700원"
