store_id,메뉴명,가격
1,고단백치킨페스토곡물샌드위치,"7,800원"
1,쉬림프에그마요샌드위치,"7,600원"
1,햄&포테이토샐러드샌드위치,"7,500원"
1,착한빵식 통밀빵,"4,900원"
1,고단백하루견과곡물브레드,"6,500원"
1,스트로베리퀸(15cm),"38,000원"
1,쇼콜라 하트（15cm）,"28,000원"
1,플라워 가든(15cm),"28,000원"
1,헬로카봇스타가디언케이크(21cm),"43,000원"
1,하츄핑의스타플래닛(18cm),"42,000원"
1,백설공주_애플&망고케이크 (15cm),"30,000원"
1,곰돌이렛츠고파티（15cm）,"31,000원"
1,더 고소한 호두 아몬드 케이크 (21cm),"35,000원"
1,쇼콜라갸또（18cm）,"36,000원"
1,부드러운고구마라떼케이크（15cm）,"35,000원"
1,클래식 오브 치즈케이크(20cm),"35,000원"
1,진한 녹차케이크（18cm）,"32,000원"
1,러브앤초코(21cm),"33,000원"
1,초코행성 지구인 （12cm）,"24,000원"
1,스트로베리 쇼콜라 갸또（15cm）,"41,000원"
1,말차에 퐁당 딸기케이크 （15cm）,"33,000원"
1,러블리 생크림 케이크(13cm),"24,000원"
1,스트로베리 요거트 생크림 케이크 (15cm),"34,000원"
1,스트로베리 리치 생크림（15cm）,"35,000원"
1,스트로베리 마스카포네 티라미수（18cm）,"33,000원"
1,딸기 겹겹이 크레이프（18cm）,"43,000원"
1,마스카포네 티라미수 케이크（18cm）,"35,000원"
1,고구마 마스카포네 티라미수（18cm）,"35,000원"
1,후르츠 바스켓（16cm）,"35,000원"
1,초코앤초코（15cm）,"28,000원"
1,블루베리 라벤더 케이크（15cm）,"28,000원"
1,짜잔! 잔망루피 꽃다발 (15cm),"30,000원"
1,랏소_베리굿데이 (15cm),"32,000원"
1,곰돌이 푸_알럽허니 (15cm),"32,000원"
1,카3_라이트닝맥퀸 케이크 (18cm),"38,000원"
1,크앙 티라노 케이크(21cm),"48,000원"
1,초롱핑의 초코 유니버스 (13cm),"28,000원"
1,케이크속에 순우유(15cm),"31,000원"
1,생 초코초코 케이크（15cm）,"34,000원"
1,쿠키 바닐라 생크림 케이크(12cm),"23,000원"
1,사르르 티라미수 생크림 쉬폰（11cm）,"25,000원"
1,순진우유 퐁당 바닐라（15cm）,"33,000원"
1,아기돼지 딸기 크런치 하우스（15cm）,"32,000원"
1,부드러운초코쉬폰 2호(18cm),"36,000원"
1,부드러운블루베리쉬폰 2호(18cm),"36,000원"
1,뚜레쥬르 올스타 케이크（18cm）,"36,000원"
1,"오,해피 복숭아 케이크（18cm）","36,000원"
1,"오,해피 한라봉&오렌지 케이크（18cm）","36,000원"
1,까망쿠키 치즈 1호(15cm),"31,000원"
1,고구마케이크 2호（18cm）,"34,000원"
1,진한 모카케이크（18cm）,"32,000원"
1,진한 가나슈케이크（15cm）,"29,000원"
1,초코 퐁당 크라상,"4,300원"
1,화끈한 불닭 고로케,"3,900원"
1,납작복숭아아이스티(제로),"3,900원"
1,유자그린티아이스티(제로),"3,900원"
1,피스타치오 블랙번,"4,100원"
1,콘크림치즈 패스트리,"4,500원"
