store_id,가게명,영업시간,전화번호,주소
1,뚜레쥬르-전북대사대부고점,09:00 - 22:00,050718614995 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 632-144 632-144
2,디디치킨-전북대점,09:00 - 00:30,050712955713 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 545-18 545-18 1층 1호
3,맥도날드-전주덕진DT점,08:00 - 02:00,050712974413 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1401-18 맥도날드 1401-18 맥도날드
4,서울깍두기설렁탕전문점-전북대점,00:00 - 23:59,,전북특별자치도 전주시 덕진구 덕진동1가 664-18 1층
5,더벤티-전주금암기린대로점,09:00 - 21:30,050720797680 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 471-5 1층 104호
6,한솥도시락-전북대후문점,09:00 - 19:50,050716623926 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 1543-8 한솥도시락전북대후문점 6호
7,금암단골집,00:00 - 15:00,050720865096 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1264-5 1층 일부호 덕진동1가
8,버거피아-전북대점,09:00 - 01:00,05078960996 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 728-212 1층 102호
9,거기커피,09:00 - 00:40,050718628038 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1312-77 1층 거기커피
10,동네커피-전주금암점,07:50 - 19:00,050720790875 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1579-16 1층
11,짬뽕지존-덕진점,08:40 - 04:00,05049303899 (요기요 제공 번호),"전라북도 전주시 덕진구 덕진동1가 1401-20 103호,104호,109호"
12,백종원의역전우동&덮밥-전북대점,09:10 - 02:30,050718614375 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1314-169 1314-169 1층
13,써브웨이-전북대점,09:00 - 22:00,05049308337 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1263-3 103호
14,북촌감자탕&해장국-전북대점,07:00 - 02:40,050720958831 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1312-42 2층
15,샐러디아-전주전북대점,09:00 - 15:00,05074640627 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1314-182 2층
16,빽다방-전북대1호점,09:00 - 23:00,050718627971 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 664-53 664-53
17,포티커피-전북대점,08:50 - 00:00,050716622164 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 1312-28 101-1 일부호
